,title,studio,domestic_gross(mils),foreign_gross(mils),year,world_wide_gross(mils)
2483,Kapoor & Sons - Since 1921,FIP,2.6,12.8,2016,15.4
2484,The Take (2016),HTR,0.0503,14.8,2016,14.8503
2485,Sword Master,WGUSA,0.0755,14.6,2016,14.6755
2487,The Other Side of the Door,Fox,3.0,11.3,2016,14.3
2490,Sing Street,Wein.,3.2,10.4,2016,13.6
2491,Shut In,EC,6.9,6.2,2016,13.1
2492,Loving,Focus,7.8,5.2,2016,13.0
2493,The Beatles: Eight Days a Week - The Touring Years,Abr.,2.9,9.4,2016,12.3
2494,The Man Who Knew Infinity,IFC,3.9,8.4,2016,12.3
2497,Our Kind of Traitor,RAtt.,3.2,7.6,2016,10.8
2498,The Perfect Match,LGF,9.7,0.745,2016,10.445
2499,Queen of Katwe,BV,8.9,1.5,2016,10.4
2500,Miss Sloane,EC,3.5,5.6,2016,9.1
2502,Morgan,Fox,3.9,4.9,2016,8.8
2504,My King (Mon roi),FM,0.0541,7.9,2016,7.9541
2505,Pele: Birth of a Legend,IFC,0.057,7.8,2016,7.857
2506,A Bigger Splash,FoxS,2.0,5.5,2016,7.5
2507,Southside with You,RAtt.,6.3,0.208,2016,6.508
2509,Incarnate,BH Tilt,4.8,1.5,2016,6.3
2510,Max Steel,ORF,3.8,2.5,2016,6.3
2511,Midnight Special,WB,3.7,2.5,2016,6.2
2512,The Duelist,Sony,0.0135,6.1,2016,6.1135
2513,The Autopsy of Jane Doe,IFC,0.0105,6.0,2016,6.0105
2514,My Best Friend's Wedding (2016),Sony,0.0786,5.6,2016,5.6786
2515,Genius,RAtt.,1.4,4.3,2016,5.7
2520,Men & Chicken,Drft.,0.0302,4.6,2016,4.6302
2525,Indignation,RAtt.,3.4,0.523,2016,3.923
2527,Rules Don't Apply,Fox,3.7,0.233,2016,3.933
2530,Naam Hai Akira,FIP,0.219,3.5,2016,3.719
2532,Miles Ahead,SPC,2.6,0.85,2016,3.45
2535,The Program (2016),EOne,0.0131,3.3,2016,3.3131
2539,Desierto,STX,2.0,1.0,2016,3.0
2541,Hillsong - Let Hope Rise,PFR,2.4,0.255,2016,2.655
2542,El Jeremias,Sony,0.65,1.9,2016,2.55
2547,Equals,A24,0.0333,2.1,2016,2.1333
2552,American Honey,A24,0.663,1.2,2016,1.863
2554,A Perfect Day,IFC,0.014,1.7,2016,1.714
2556,Rustom,Zee,1.1,0.571,2016,1.671
2567,Ma ma,Osci.,0.0473,1.1,2016,1.1473
2665,The Monster (2016),A24,0.0125,0.0622,2016,0.0747
2696,Troublemakers: The Story of Land Art,FRun,0.0295,0.0091,2016,0.0386
2758,Star Wars: The Last Jedi,BV,620.2,712.4,2017,1332.6
2759,Beauty and the Beast (2017),BV,504.0,759.5,2017,1263.5
2760,The Fate of the Furious,Uni.,226.0,0.00101,2017,226.00101
2761,Despicable Me 3,Uni.,264.6,770.2,2017,1034.8
2762,Jumanji: Welcome to the Jungle,Sony,404.5,557.6,2017,962.1
2763,Spider-Man: Homecoming,Sony,334.2,546.0,2017,880.2
2764,Wolf Warrior 2,HC,2.7,867.6,2017,870.3
2765,Guardians of the Galaxy Vol. 2,BV,389.8,473.9,2017,863.7
2766,Thor: Ragnarok,BV,315.1,538.9,2017,854.0
2767,Wonder Woman,WB,412.6,409.3,2017,821.9
2768,Coco,BV,209.7,597.4,2017,807.1
2769,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172.6,622.3,2017,794.9
2770,It,WB (NL),327.5,372.9,2017,700.4
2771,Justice League,WB,229.0,428.9,2017,657.9
2772,Logan (2017),Fox,226.3,392.7,2017,619.0
2773,Transformers: The Last Knight,Par.,130.199999,475.3,2017,605.499999
2774,Kong: Skull Island,WB,168.1,398.6,2017,566.7
2775,The Boss Baby,Fox,175.0,353.0,2017,528.0
2776,Dunkirk,WB,188.0,337.2,2017,525.2
2777,War for the Planet of the Apes,Fox,146.9,343.8,2017,490.7
2778,The Greatest Showman,Fox,174.3,260.7,2017,435.0
2779,Kingsman: The Golden Circle,Fox,100.2,310.7,2017,410.9
2780,The Mummy (2017),Uni.,80.2,329.0,2017,409.2
2781,Cars 3,BV,152.9,231.0,2017,383.9
2782,Fifty Shades Darker,Uni.,114.6,267.0,2017,381.6
2783,Your Name.,FUN,5.0,353.0,2017,358.0
2784,Murder on the Orient Express (2017),Fox,102.8,250.0,2017,352.8
2785,xXx: The Return of Xander Cage,Par.,44.9,301.2,2017,346.1
2786,The Great Wall,Uni.,45.5,289.4,2017,334.9
2787,Resident Evil: The Final Chapter,SGem,26.8,285.4,2017,312.2
2788,The LEGO Batman Movie,WB,175.8,136.2,2017,312.0
2789,Annabelle: Creation,WB (NL),102.1,204.4,2017,306.5
2790,Wonder,LGF,132.4,173.5,2017,305.9
2791,Ferdinand,Fox,84.4,211.7,2017,296.1
2792,Split,Uni.,138.3,140.2,2017,278.5
2793,Blade Runner 2049,WB,92.1,167.2,2017,259.3
2794,Get Out,Uni.,176.0,79.4,2017,255.4
2795,Kung Fu Yoga,WGUSA,0.363,253.8,2017,254.163
2796,Baahubali 2: The Conclusion,GrtIndia,20.2,234.0,2017,254.2
2797,Journey to the West: The Demons Strike Back,Sony,0.88,245.7,2017,246.58
2798,Alien: Covenant,Fox,74.3,166.6,2017,240.9
2799,Baby Driver,TriS,107.8,119.1,2017,226.9
2800,Valerian and the City of a Thousand Planets,STX,41.2,184.7,2017,225.9
2801,Geostorm,WB,33.7,187.9,2017,221.6
2802,The Emoji Movie,Sony,86.1,131.699999,2017,217.799999
2803,A Dog's Purpose,Uni.,64.5,140.5,2017,205.0
2804,Smurfs: The Lost Village,Sony,45.0,152.2,2017,197.2
2805,The Shape of Water,FoxS,63.9,131.4,2017,195.3
2806,Pitch Perfect 3,Uni.,104.9,80.5,2017,185.4
2807,Daddy's Home 2,Par.,104.0,76.6,2017,180.6
2808,The Post,Fox,81.9,97.9,2017,179.8
2809,Baywatch,Par.,58.1,119.8,2017,177.9
2810,The Hitman's Bodyguard,LG/S,75.5,101.1,2017,176.6
2811,John Wick: Chapter Two,LG/S,92.0,79.5,2017,171.5
2812,Ghost in the Shell (2017),Par.,40.6,129.199999,2017,169.799999
2813,"Three Billboards Outside Ebbing, Missouri",FoxS,54.5,104.7,2017,159.2
2814,Duckweed,CL,0.472,150.6,2017,151.072
2815,Darkest Hour,Focus,56.5,94.4,2017,150.9
2816,King Arthur: Legend of the Sword,WB,39.2,109.5,2017,148.7
2817,The Foreigner,STX,34.4,111.0,2017,145.4
2818,Power Rangers (2017),LGF,85.4,57.0,2017,142.4
2819,Girls Trip,Uni.,115.2,25.4,2017,140.6
2820,American Made,Uni.,51.3,83.5,2017,134.8
2821,A Bad Moms Christmas,STX,72.1,58.4,2017,130.5
2822,Captain Underpants: The First Epic Movie,Fox,73.9,51.6,2017,125.5
2823,Happy Death Day,Uni.,55.7,69.8,2017,125.5
2824,The LEGO Ninjago Movie,WB,59.3,63.8,2017,123.1
2826,The Dark Tower,Sony,50.7,62.5,2017,113.2
2827,Buddies in India,CL,0.293,109.3,2017,109.593
2828,Leap!,Wein.,21.9,81.4,2017,103.3
2829,Jigsaw,LGF,38.1,64.9,2017,103.0
2830,Railroad Tigers,WGUSA,0.218,102.0,2017,102.218
2831,Life (2017),Sony,30.2,70.3,2017,100.5
2832,Atomic Blonde,Focus,51.7,48.3,2017,100.0
2833,The Shack,LG/S,57.4,39.6,2017,97.0
2834,Some Like It Hot (Qing Shung),CL,0.1,95.6,2017,95.7
2835,Tiger Zinda Hai,Yash,5.6,81.8,2017,87.4
2836,Going in Style (2017),WB (NL),45.0,39.9,2017,84.9
2837,Rings,Par.,27.8,55.3,2017,83.1
2838,A Taxi Driver,WGUSA,1.5,80.1,2017,81.6
2839,Underworld: Blood Wars,SGem,30.4,50.7,2017,81.1
2840,Lady Bird,A24,49.0,30.0,2017,79.0
2841,American Assassin,LGF,36.2,31.0,2017,67.2
2842,One Piece Film: Gold,FUN,0.424,65.8,2017,66.224
2843,Victoria and Abdul,Focus,22.2,43.2,2017,65.4
2844,The Nut Job 2: Nutty by Nature,ORF,28.4,36.8,2017,65.2
2845,Monster Trucks,Par.,33.4,31.1,2017,64.5
2846,The Mountain Between Us,Fox,30.3,32.5,2017,62.8
2847,The Star,Sony,40.9,22.0,2017,62.9
2848,How to be a Latin Lover,PNT,32.1,29.7,2017,61.8
2849,"Everything, Everything",WB,34.1,27.5,2017,61.6
2850,Snatched,Fox,45.9,15.0,2017,60.9
2851,My Little Pony: The Movie,LGF,21.9,38.4,2017,60.3
2852,Molly's Game,STX,28.8,30.5,2017,59.3
2853,All the Money in the World,TriS,25.1,31.9,2017,57.0
2854,The Big Sick,LGF,42.9,13.5,2017,56.4
2855,Confidential Assignment,CJ,0.476,55.5,2017,55.976
2856,Downsizing,Par.,24.4,30.6,2017,55.0
2857,"I, Tonya",Neon,30.0,23.9,2017,53.9
2858,Logan Lucky,BST,27.8,20.7,2017,48.5
2859,Tyler Perry's Boo 2! A Madea Halloween,LGF,47.3,1.0,2017,48.3
2860,Phantom Thread,Focus,21.2,26.6,2017,47.8
2861,Rough Night,Sony,22.1,25.2,2017,47.3
2862,The Battleship Island,CJ,1.1,45.0,2017,46.1
2863,Flatliners (2017),Sony,16.9,28.3,2017,45.2
2865,mother!,Par.,17.8,26.7,2017,44.5
2867,The Snowman,Uni.,6.7,36.4,2017,43.1
2868,Gifted,FoxS,24.8,18.2,2017,43.0
2869,Loving Vincent,Good Deed,6.7,35.5,2017,42.2
2870,Call Me by Your Name,SPC,18.1,23.8,2017,41.9
2871,T2: Trainspotting,TriS,2.4,39.3,2017,41.7
2872,Fist Fight,WB (NL),32.2,8.9,2017,41.1
2873,Diary of a Wimpy Kid: The Long Haul,Fox,20.7,19.4,2017,40.1
2874,The House,WB (NL),25.6,8.6,2017,34.2
2875,Tad the Lost Explorer and the Secret of King Midas,ParC,0.0059,34.2,2017,34.2059
2877,Sleepless,ORF,20.8,12.1,2017,32.9
2879,The Disaster Artist,A24,21.1,8.7,2017,29.8
2881,The Beguiled (2017),Focus,10.7,16.7,2017,27.4
2883,Judwaa 2,FIP,1.4,25.5,2017,26.9
2884,CHiPs,WB,18.6,8.199999,2017,26.799999
2885,The Bye Bye Man,STX,22.4,4.3,2017,26.7
2886,A Cure for Wellness,Fox,8.1,18.5,2017,26.6
2887,The Zookeeper's Wife,Focus,17.6,8.6,2017,26.2
2888,Only The Brave,Sony,18.3,7.4,2017,25.7
2889,Father Figures,WB,17.5,8.1,2017,25.6
2890,Badrinath Ki Dulhania,FIP,2.0,23.2,2017,25.2
2891,Born in China,BV,13.9,11.2,2017,25.1
2892,The Founder,Wein.,12.8,11.3,2017,24.1
2893,Jolly Llb 2,FIP,1.7,21.3,2017,23.0
2894,The Glass Castle,LGF,17.3,4.6,2017,21.9
2895,Sword Art Online: The Movie - Ordinal Scale,Elev.,1.5,19.2,2017,20.7
2897,It Comes At Night,A24,14.0,5.3,2017,19.3
2898,The Lost City of Z,BST,8.6,10.7,2017,19.3
2899,Unforgettable (2017),WB,11.4,6.4,2017,17.8
2900,The Case for Christ,PFR,14.7,3.0,2017,17.7
2902,Wonder Wheel,Amazon,1.4,14.5,2017,15.9
2903,Gold,Wein.,7.2,7.7,2017,14.9
2904,The Space Between Us,STX,7.9,6.9,2017,14.8
2906,A United Kingdom,FoxS,3.9,9.9,2017,13.8
2907,"Roman J. Israel, Esq.",Sony,12.0,1.1,2017,13.1
2908,Mubarakan,Sony,0.759,12.1,2017,12.859
2910,The Promise (2017),ORF,8.199999,4.2,2017,12.399999
2912,Earth: One Amazing Day,BBC,0.0813,11.6,2017,11.6813
2915,My Cousin Rachel,FoxS,2.7,6.5,2017,9.2
2916,Truman,FR,0.211,8.8,2017,9.011
2917,Stronger,RAtt.,4.2,4.2,2017,8.4
2918,Tulip Fever,Wein.,2.5,5.9,2017,8.4
2919,Viceroy's House,IFC,1.1,6.7,2017,7.8
2920,Amityville: The Awakening,W/Dim.,0.0007,7.7,2017,7.7007
2921,Just Getting Started,BG,6.1,1.6,2017,7.7
2922,Beatriz At Dinner,RAtt.,7.1,0.31,2017,7.41
2924,The Red Turtle,SPC,0.922,5.7,2017,6.622
2925,From the Land of the Moon,IFC,0.0477,6.5,2017,6.5477
2927,All Saints,Affirm,5.8,0.14,2017,5.94
2932,Phillauri,FIP,0.468,5.0,2017,5.468
2933,Ok Jaanu,FIP,0.356,5.0,2017,5.356
2934,An Inconvenient Sequel: Truth to Power,Par.,3.5,1.9,2017,5.4
2935,Table 19,FoxS,3.6,1.4,2017,5.0
2936,Collide,ORF,2.3,2.5,2017,4.8
2937,The Wall,RAtt.,1.8,2.7,2017,4.5
2938,Mark Felt: The Man Who Brought Down the White House,SPC,0.769,3.6,2017,4.369
2939,Terminator 2: Judgment Day 3D,Distrib.,1.0,2.9,2017,3.9
2940,Brad's Status,Annapurna,2.1,1.7,2017,3.8
2943,Wonderstruck,RAtt.,1.1,2.2,2017,3.3
2945,Raw (2017),FCW,0.515,2.6,2017,3.115
2947,A Gentleman,FIP,0.41,2.5,2017,2.91
2948,Inhumans,Imax,1.5,1.3,2017,2.8
2950,The Only Living Boy in New York,RAtt.,0.624,1.9,2017,2.524
2952,Poster Boys,Sony,0.097,2.4,2017,2.497
2961,Last Flag Flying,LGF,0.965,0.904,2017,1.869
2965,Human Flow,Magn.,0.528,1.3,2017,1.828
2969,Patti Cake$,FoxS,0.8,0.682,2017,1.482
2975,6 Below: Miracle on the Mountain,MOM,0.0148,1.1,2017,1.1148
2985,Buena Vista Social Club: Adios,BG,0.123,0.578,2017,0.701
2990,3 Generations,Wein.,0.156,0.375,2017,0.531
2993,Letters from Baghdad,Vita.,0.36,0.143,2017,0.503
3009,City of Ghosts,IFC,0.128,0.1,2017,0.228
3079,Avengers: Infinity War,BV,678.8,0.0013695,2018,678.8013695
3080,Black Panther,BV,700.1,646.9,2018,1347.0
3081,Jurassic World: Fallen Kingdom,Uni.,417.7,891.8,2018,1309.5
3082,Incredibles 2,BV,608.6,634.2,2018,1242.8
3083,Aquaman,WB,335.1,812.7,2018,1147.8
3084,Bohemian Rhapsody,Fox,216.4,687.2,2018,903.6
3085,Venom (2018),Sony,213.5,641.5,2018,855.0
3086,Mission: Impossible - Fallout,Par.,220.2,571.0,2018,791.2
3087,Deadpool 2,Fox,318.5,460.5,2018,779.0
3088,Fantastic Beasts: The Crimes of Grindelwald,WB,159.6,494.1,2018,653.7
3089,Ant-Man and the Wasp,BV,216.6,406.0,2018,622.6
3090,Ready Player One,WB,137.7,445.2,2018,582.9
3091,Operation Red Sea,WGUSA,1.5,577.7,2018,579.2
3092,Detective Chinatown 2,WB,2.0,542.1,2018,544.1
3093,The Meg,WB,145.4,384.8,2018,530.2
3094,Ralph Breaks the Internet,BV,201.1,328.1,2018,529.2
3095,Hotel Transylvania 3: Summer Vacation,Sony,167.5,361.1,2018,528.6
3096,Dr. Seuss' The Grinch (2018),Uni.,270.6,241.0,2018,511.6
3097,Bumblebee,Par.,127.2,340.8,2018,468.0
3098,A Star is Born (2018),WB,215.3,218.9,2018,434.2
3099,Rampage (2018),WB (NL),101.0,327.0,2018,428.0
3100,Mamma Mia! Here We Go Again,Uni.,120.6,274.4,2018,395.0
3101,Solo: A Star Wars Story,BV,213.8,179.2,2018,393.0
3102,Spider-Man: Into The Spider-Verse,Sony,190.2,185.3,2018,375.5
3103,Fifty Shades Freed,Uni.,100.4,271.5,2018,371.9
3104,The Nun,WB (NL),117.5,248.1,2018,365.6
3105,Monster Hunt 2,LGF,0.706,361.0,2018,361.706
3106,Peter Rabbit,Sony,115.3,236.0,2018,351.3
3107,Mary Poppins Returns,BV,172.0,177.6,2018,349.6
3108,A Quiet Place,Par.,188.0,152.9,2018,340.9
3109,Green Book,Uni.,85.1,234.7,2018,319.8
3110,Skyscraper,Uni.,68.4,236.4,2018,304.8
3111,Ocean's 8,WB,140.2,157.5,2018,297.7
3112,Pacific Rim Uprising,Uni.,59.9,231.1,2018,291.0
3113,Maze Runner: The Death Cure,Fox,58.0,230.2,2018,288.2
3114,Tomb Raider,WB,58.3,216.4,2018,274.7
3115,Halloween (2018),Uni.,159.3,96.1,2018,255.4
3116,Crazy Rich Asians,WB,174.5,64.0,2018,238.5
3117,Paddington 2,WB,40.9,186.4,2018,227.3
3118,Smallfoot,WB,83.2,130.9,2018,214.1
3119,Creed II,MGM,115.7,98.3,2018,214.0
3120,Disney's Christopher Robin,BV,99.2,98.5,2018,197.7
3121,The Equalizer 2,Sony,102.1,88.3,2018,190.4
3122,The Nutcracker and the Four Realms,BV,54.9,119.1,2018,174.0
3123,The Mule,WB,103.8,68.7,2018,172.5
3124,Insidious: The Last Key,Uni.,67.7,100.1,2018,167.8
3125,The Predator (2018),Fox,51.0,109.5,2018,160.5
3126,Johnny English Strikes Again,Uni.,4.4,154.5,2018,158.9
3127,Red Sparrow,Fox,46.9,104.7,2018,151.6
3128,The First Purge,Uni.,69.5,67.5,2018,137.0
3129,A Wrinkle in Time,BV,100.5,32.2,2018,132.7
3130,The House With A Clock In Its Walls,Uni.,68.5,62.9,2018,131.4
3131,Instant Family,Par.,67.4,53.2,2018,120.6
3132,The Commuter,LGF,36.3,83.6,2018,119.9
3133,Game Night,WB (NL),69.2,48.5,2018,117.7
3134,The Monkey King 3,WGUSA,0.187,114.9,2018,115.087
3135,First Man,Uni.,44.9,60.8,2018,105.7
3136,Night School (2018),Uni.,77.3,25.8,2018,103.1
3137,Alpha,Studio 8,35.9,62.3,2018,98.2
3138,A Simple Favor,LGF,53.5,44.1,2018,97.6
3139,The Favourite,FoxS,34.4,61.6,2018,96.0
3140,Truth or Dare,Uni.,41.4,53.9,2018,95.3
3141,I Feel Pretty,STX,48.8,45.7,2018,94.5
3142,Blockers,Uni.,60.3,33.7,2018,94.0
3143,Goosebumps 2: Haunted Halloween,Sony,46.7,46.6,2018,93.3
3144,BlacKkKlansman,Focus,49.3,44.0,2018,93.3
3145,Overboard (2018),PNT,50.3,40.9,2018,91.2
3146,Sherlock Gnomes,Par.,43.2,47.1,2018,90.3
3147,Robin Hood (2018),LG/S,30.8,54.0,2018,84.8
3148,Mortal Engines,Uni.,16.0,67.7,2018,83.7
3149,How Long Will I Love U,WGUSA,0.747,82.1,2018,82.847
3150,Den of Thieves,STX,44.9,35.6,2018,80.5
3151,Hereditary,A24,44.1,35.3,2018,79.4
3152,Tag,WB (NL),54.7,23.4,2018,78.1
3153,Vice,Annapurna,47.8,28.2,2018,76.0
3154,Widows,Fox,42.4,33.6,2018,76.0
3155,Sicario: Day of the Soldado,Sony,50.1,25.8,2018,75.9
3156,Searching,SGem,26.0,49.4,2018,75.4
3157,The Spy Who Dumped Me,LGF,33.6,41.8,2018,75.4
3158,Second Act,STX,39.3,33.0,2018,72.3
3159,Sanju,FIP,7.9,63.6,2018,71.5
3161,12 Strong,WB,45.8,21.6,2018,67.4
3162,"Love, Simon",Fox,40.8,25.5,2018,66.3
3163,Mile 22,STX,36.1,30.2,2018,66.3
3164,Life of the Party,WB (NL),53.1,12.8,2018,65.9
3165,Isle Of Dogs,FoxS,32.0,32.2,2018,64.2
3166,Adrift,STX,31.4,28.5,2018,59.9
3167,The 15:17 to Paris,WB,36.3,20.8,2018,57.1
3168,Early Man,LGF,8.3,46.4,2018,54.7
3169,Peppermint,STX,35.4,18.4,2018,53.8
3170,Teen Titans Go! To The Movies,WB,29.8,22.3,2018,52.1
3171,Slender Man,SGem,30.6,21.2,2018,51.8
3172,Breaking In (2018),Uni.,46.8,4.6,2018,51.4
3173,Once Upon a Deadpool,Fox,6.1,44.4,2018,50.5
3174,The Son of Bigfoot,VPD,0.289,46.8,2018,47.089
3175,Uncle Drew,LG/S,42.5,4.2,2018,46.7
3176,Tyler Perry's Acrimony,LGF,43.5,2.9,2018,46.4
3177,Mary Queen of Scots,Focus,16.5,29.9,2018,46.4
3178,The Possession of Hannah Grace,SGem,14.8,28.2,2018,43.0
3179,Overlord,Par.,21.7,20.0,2018,41.7
3180,The Darkest Minds,Fox,12.7,28.4,2018,41.1
3181,Holmes and Watson,Sony,30.6,9.9,2018,40.5
3182,Show Dogs,Global Road,17.9,21.3,2018,39.2
3183,On the Basis of Sex,Focus,24.6,13.6,2018,38.2
3184,Namiya,CL,0.0708,35.3,2018,35.3708
3185,The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony,14.8,20.3,2018,35.1
3186,The Hate U Give,Fox,29.7,5.2,2018,34.9
3188,Nobody's Fool,Par.,31.7,1.8,2018,33.5
3189,Bad Times At The El Royale,Fox,17.8,14.0,2018,31.8
3190,Baaghi 2,FIP,1.3,29.9,2018,31.2
3191,The Happytime Murders,STX,20.7,6.8,2018,27.5
3192,Midnight Sun,Global Road,9.6,17.8,2018,27.4
3193,Pad Man,Sony,1.7,25.6,2018,27.3
3194,Monster Family,VPD,0.127,26.3,2018,26.427
3195,White Boy Rick,Studio 8,24.0,1.9,2018,25.9
3197,The Death of Stalin,IFC,8.0,16.6,2018,24.6
3199,"Paul, Apostle of Christ",Affirm,17.6,5.5,2018,23.1
3200,Padmaavat,VPD,11.8,11.1,2018,22.9
3201,Proud Mary,SGem,20.9,0.876,2018,21.776
3202,Superfly,Sony,20.5,0.236,2018,20.736
3203,If Beale Street Could Talk,Annapurna,14.9,5.7,2018,20.6
3204,Burn the Stage: The Movie,Trafalgar,4.2,16.1,2018,20.3
3205,Detective K: Secret of the Living Dead,WGUSA,0.104,18.5,2018,18.604
3206,The Wife,SPC,9.6,8.6,2018,18.2
3207,Hell Fest,LGF,11.1,7.1,2018,18.2
3208,Chappaquiddick,ENTMP,17.4,0.591,2018,17.991
3211,The Children Act,A24,0.548,17.0,2018,17.548
3212,Beautiful Boy (2018),Amazon,7.6,8.7,2018,16.3
3214,Tully (2018),Focus,9.4,6.3,2018,15.7
3215,Unfriended: Dark Web,BH Tilt,8.9,6.3,2018,15.2
3216,Upgrade,BH Tilt,12.0,2.4,2018,14.4
3217,Unsane,BST,7.7,6.6,2018,14.3
3218,The Sisters Brothers,Annapurna,3.1,10.0,2018,13.1
3219,Welcome to Marwen,Uni.,10.8,2.1,2018,12.9
3220,Hotel Artemis,Global Road,6.7,6.0,2018,12.7
3221,Marrowbone,Magn.,0.0014,12.3,2018,12.3014
3222,102 Not Out,Sony,1.3,10.9,2018,12.2
3223,Boy Erased,Focus,6.8,5.0,2018,11.8
3224,Back to Burgundy,MBox,0.258,11.4,2018,11.658
3225,The Bookshop,Greenwich,1.6,9.9,2018,11.5
3227,Gringo,STX,5.0,6.0,2018,11.0
3228,Golden Slumber,CJ,0.0945,10.6,2018,10.6945
3229,Kin,LGF,5.7,4.3,2018,10.0
3230,The Big Bad Fox and Other Tales,GK,0.0358,9.6,2018,9.6358
3231,Traffik,LGF,9.2,0.336,2018,9.536
3233,7 Days in Entebbe,Focus,3.3,5.4,2018,8.7
3234,Pope Francis - A Man of His Word,Focus,2.0,6.6,2018,8.6
3235,Condorito: La Pelicula,LGF,0.448,8.0,2018,8.448
3236,Suspiria,Amazon,2.5,5.4,2018,7.9
3237,Disobedience,BST,3.5,4.4,2018,7.9
3238,Qué León (What A Lion),Spanglish,2.6,5.2,2018,7.8
3239,Life Itself (2018),Amazon,4.099999,3.7,2018,7.799999
3240,Beirut,BST,5.0,2.5,2018,7.5
3241,Return of the Hero,Distrib.,0.0371,7.3,2018,7.3371
3242,Soorma,Sony,0.39,6.2,2018,6.59
3247,Destroyer,Annapurna,1.5,4.0,2018,5.5
3248,Madame,Blue Fox,0.091,5.3,2018,5.391
3250,Blindspotting,LG/S,4.3,0.53,2018,4.83
3252,Papillon (2018),BST,2.3,2.2,2018,4.5
3254,The Mercy,Scre.,0.0295,4.2,2018,4.2295
3255,Hichki,Yash,0.33,3.9,2018,4.23
3257,Don't Worry He Won't Get Far on Foot,Amazon,1.4,2.5,2018,3.9
3258,A Private War,Aviron,1.6,2.2,2018,3.8
3261,Gauguin: Voyage to Tahiti,Cohen,0.2,3.1,2018,3.3
3263,The Front Runner,Sony,2.0,1.2,2018,3.2
3265,Wildlife,IFC,1.1,2.0,2018,3.1
3268,Billionaire Boy's Club,VE,0.0013,2.5,2018,2.5013
3271,Bilal: A New Breed of Hero,VE,0.491,1.7,2018,2.191
3275,I Still See You,LGF,0.0014,1.5,2018,1.5014
3286,The Catcher Was a Spy,IFC,0.725,0.229,2018,0.954
3309,Time Freak,Grindstone,0.01,0.256,2018,0.266
3342,Reign of Judges: Title of Liberty - Concept Short,Darin Southa,0.0932,0.0052,2018,0.0984
3353,Antonio Lopez 1970: Sex Fashion & Disco,FM,0.0432,0.03,2018,0.0732
