,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,world_wide_box_office
1744,The Promise,2016,234980100,90000000,8224288,2327129,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,134.0,10551417
1745,Now You See Me 2,2016,215110100,90000000,65075540,263249467,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,1.0,129.0,328325007
1746,The Magnificent Seven,2016,220270100,90000000,93432655,69092501,PG-13,Historical Fiction,Remake,Live Action,Western,0.0,128.0,162525156
1747,Alien: Covenant,2016,199970100,97000000,74262031,164259216,R,Science Fiction,Original Screenplay,Live Action,Horror,1.0,123.0,238521247
1748,Ice Age: Collision Course,2016,201400100,105000000,64063008,338093674,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1.0,100.0,402156682
1749,Allied,2016,234410100,106000000,40098064,79168597,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,124.0,119266661
1750,Ghost in the Shell,2016,222050100,110000000,40563557,127347133,PG-13,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,0.0,100.0,167910690
1751,Miss Peregrine’s Home for Peculiar Children,2016,193730100,110000000,87242834,208744042,PG-13,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0.0,126.0,295986876
1752,Passengers,2016,150680100,110000000,100014699,202224973,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,116.0,302239672
1753,Jason Bourne,2016,200870100,120000000,162192920,253975396,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,123.0,416168316
1754,Power Rangers,2016,212770100,120000000,85364450,57167102,PG-13,Kids Fiction,Based on TV,Live Action,Action,0.0,124.0,142531552
1755,Trolls,2016,181340100,125000000,153707064,190365169,PG,Kids Fiction,Based on Toy,Digital Animation,Adventure,0.0,93.0,344072233
1756,Assassin’s Creed,2016,192580100,125000000,54647948,186111734,PG-13,Science Fiction,Based on Game,Live Action,Action,0.0,116.0,240759682
1757,The Boss Baby,2016,209320100,125000000,175003033,335875729,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0.0,97.0,510878762
1758,Logan,2016,205120100,127000000,226277068,389184326,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,135.0,615461394
1759,The BFG,2016,209470100,140000000,55483770,144162910,PG,Kids Fiction,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0.0,115.0,199646680
1760,Ghostbusters,2016,142620100,144000000,128350574,100658084,PG-13,Science Fiction,Remake,Live Action,Comedy,1.0,117.0,229008658
