,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_list,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,TV_movie,thriller,war,western
12208,[99],300605,pt,Cidade de Deus: 10 Anos Depois,1.444,2014-03-20,City of God – 10 Years Later,7.0,33,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12209,[18],287507,es,Dólares de arena,1.443,2015-11-06,Sand Dollars,6.8,10,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12210,"[18, 35, 10749]",319017,en,The Last Straight Man,1.443,2014-05-06,The Last Straight Man,5.5,14,"['Drama', 'Comedy', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12211,[18],334718,pl,"Serce, Serduszko",1.4409999999999998,2014-11-18,The Heart and Sweetheart,4.7,3,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12212,[99],294862,en,Magical Universe,1.439,2014-10-31,Magical Universe,6.6,5,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12213,"[14, 12]",312157,ru,Форт Росс: В поисках приключений,1.439,2014-08-19,Fort Ross: In Search of Adventure,1.0,2,"['Fantasy', 'Adventure']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12214,"[99, 10402]",293187,en,On the Run Tour: Beyoncé and Jay Z,1.436,2014-09-20,On the Run Tour: Beyoncé and Jay Z,8.3,18,"['Documentary', 'Music']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12215,[99],286407,en,Mission Blue,1.432,2014-01-30,Mission Blue,7.7,21,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12216,[27],258255,en,Mischief Night,1.431,2014-05-20,Mischief Night,4.6,12,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12217,"[35, 18, 10751]",289229,en,My Dad's a Soccer Mom,1.4280000000000002,2014-06-21,My Dad's a Soccer Mom,6.2,7,"['Comedy', 'Drama', 'Family']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
